report_schema_version,report_mode,internal_item_id,wordpress_public_id,item_name,barcode,internal_status,internal_quantity,website_projection,website_projection_status,square_variation_id,square_expected_count,square_count,square_projection_status,kiosk_projection,kiosk_projection_status,reserved_quantity,pending_failed_status,last_verified_sync_at_utc,mismatch_reason
1,connected,local-inventory-2775e8a7-059e-458b-a491-0f8f738bb48d,d23f627f-008d-c593-72fc-039356ab9ead,Black Lotus,PUG-38CDDEB6,sold,1,,not_recorded,,,,not_recorded,visibility=visible;status=sold;sellable_quantity=0,not_recorded,0,pending:external_sync_state,,website_projection_missing;kiosk_projection_not_recorded
1,connected,local-inventory-b18661db-7184-484e-a1a4-0d7033022cf4,8da010e9-ea8c-816c-5444-3e1193279004,Lion's Eye Diamond,PUG-845E4CDD,sold,0,,not_recorded,,,,not_recorded,visibility=visible;status=sold;sellable_quantity=0,not_recorded,0,synced,,website_projection_missing;kiosk_projection_not_recorded
1,connected,local-inventory-4afbc445-8153-44db-a755-7157b27ea4f4,6c3f9245-6879-a6db-1a5d-7b43038a2684,Charizard,PUG-7627C752,sold,1,,not_recorded,,,,not_recorded,visibility=visible;status=sold;sellable_quantity=0,not_recorded,0,pending:external_sync_state,,website_projection_missing;kiosk_projection_not_recorded
1,connected,local-inventory-c9a3c0a0-1e2d-4ea0-9173-8e3571f45554,3b87722c-c26e-c7cb-2ee7-358ad5a9e54d,Arid Mesa,PUG-B5B049A0,sold,1,,not_recorded,,,,not_recorded,visibility=visible;status=sold;sellable_quantity=0,not_recorded,0,pending:external_sync_state,,website_projection_missing;kiosk_projection_not_recorded
1,connected,local-inventory-a6be3f2d-6505-4a4c-85c2-446c60c1ee02,e3abcc0c-ecde-0a28-bd55-9754fd2b66db,Arid Mesa,PUG-04510A41,sold,0,,not_recorded,I4PVDRCB2JF4PNSBGLLVTUA6,0,0,not_recorded,visibility=visible;status=sold;sellable_quantity=0,not_recorded,0,no_sync_record,,website_projection_missing;kiosk_projection_not_recorded
1,connected,local-inventory-db01248f-93a0-4957-b819-d24fccaec594,16f6e1ee-5310-5c90-a0b2-51437fdc82c7,Blood Crypt,PUG-8C7CE572,available,1,,not_recorded,3YOAIUNKXYBBVDUDBDYSU53U,1,1,not_recorded,visibility=visible;status=available;sellable_quantity=1,not_recorded,0,synced,,website_projection_missing;kiosk_projection_not_recorded
1,connected,local-inventory-b08988ed-2b54-426b-92ff-9345cf6c3aae,ed49954c-dcd7-8988-217b-5f43cffea831,Blood Crypt,PUG-ACA32940-01,available,1,,not_recorded,XZOOAYZNQHJKPDAKBH7FRE3X,1,1,not_recorded,visibility=visible;status=available;sellable_quantity=1,not_recorded,0,synced,,website_projection_missing;kiosk_projection_not_recorded
1,connected,local-inventory-5398368f-2147-40d2-9ea8-83829aceeff4,1af45e70-cd3b-1dd9-e358-984db5a94623,Blood Crypt,PUG-ACA32940-02,available,1,,not_recorded,TE7AHLTHJ6BKSZNWT2UKKJGY,1,1,not_recorded,visibility=visible;status=available;sellable_quantity=1,not_recorded,0,synced,,website_projection_missing;kiosk_projection_not_recorded
1,connected,local-inventory-8b2a1423-eb87-42fb-91a2-22d2c7d34d15,6cce780a-ebb0-1298-888a-f7506b43bfdd,Bloodstained Mire,PUG-1C726C70,available,1,,not_recorded,SQY7RAMMBPORVI5J3WRFEETR,1,0,not_recorded,visibility=visible;status=available;sellable_quantity=1,not_recorded,0,synced,,website_projection_missing;square_count_mismatch;kiosk_projection_not_recorded
1,connected,local-inventory-c48b30f4-ddee-4856-aa65-8b25eff118f7,419cc79c-dfe8-9063-b5a0-f85259ec4a5b,"Boseiju, Who Endures",PUG-ECA752D9-01,available,1,,not_recorded,NQRSCQCC2FIWP6XIQI2HAAU3,1,1,not_recorded,visibility=visible;status=available;sellable_quantity=1,not_recorded,0,synced,,website_projection_missing;kiosk_projection_not_recorded
